attack_rate,group
0.00835979,baseline_seq
0.03203691,simple_90
0.008147572,simple_180
0.008146274,simple_270
0.03395658,prerel14_seq
0.05068537,prerel_14_simple_90
0.03168908,prerel_14_simple_180
0.03166886,prerel_14_simple_270
0.008169742,partial18_seq
0.008284209,partial18_simple_90
0.008146311,partial18_simple_180
0.008146274,partial18_simple_270
0.008242634,partial26_seq
0.01133385,partial26_simple_90
0.008184776,partial26_simple_180
0.008184648,partial26_simple_270
0.008226466,Assym21_seq
0.01831442,Assym21_simple_90
0.008184937,Assym21_simple_180
0.008184648,Assym21_simple_270
0.008775925,NatImmLoss_seq
0.03743526,NatImmLoss_simple_90
0.008429454,NatImmLoss_simple_180
0.008425287,NatImmLoss_simple_270
0.1590628,VacImmLoss_seq
0.1277253,VacImmLoss_simple_90
0.1943328,VacImmLoss_simple_180
0.06209963,VacImmLoss_simple_270
0.2779141,BothNatVacImmLoss_seq
0.1885913,BothNatVacImmLoss_simple_90
0.2551439,BothNatVacImmLoss_simple_180
0.1989676,BothNatVacImmLoss_simple_270
0.02731138,Transblock_50_seq
0.03541548,Transblock_50_simple_90
0.01529632,Transblock_50_simple_180
0.008487569,Transblock_50_simple_270
0.008747326,Transblock_75_seq
0.03323638,Transblock_75_simple_90
0.008251935,Transblock_75_simple_180
0.008247631,Transblock_75_simple_270
0.008402141,Transblock_90_seq
0.0321041,Transblock_90_simple_90
0.008185981,Transblock_90_simple_180
0.008184648,Transblock_90_simple_270
0.1305768,Coverage_50_seq
0.1472981,Coverage_50_simple_90
0.1282767,Coverage_50_simple_180
0.01197904,Coverage_50_simple_270
0.05311823,Coverage_70_seq
0.088031,Coverage_70_simple_90
0.01863105,Coverage_70_simple_180
0.009379021,Coverage_70_simple_270
0.00835979,Coverage_90_seq
0.03203691,Coverage_90_simple_90
0.008147572,Coverage_90_simple_180
0.008146274,Coverage_90_simple_270
